Batsman,Bowler,Probability of 0,Probability of 1,Probability of 2,Probability of 3,Probability of 4,Probability of 6,Probability of W,Balls Faced
F Behardien,CJ Jordan,0,0.75,0,0,0.25,0,0,4
DJ Hooda,MR Marsh,1,0,0,0,0,0,0,3
MP Stoinis,VR Aaron,0,1,0,0,0,0,0,1
RG Sharma,Imran Tahir,0.25,0.75,0,0,0,0,0,8
M Vijay,B Kumar,0.454545455,0.454545455,0,0,0,0,0.090909091,11
JC Buttler,RA Jadeja,0,0.333333333,0.333333333,0,0.333333333,0,0,3
BB McCullum,BB Sran,0.555555556,0.166666667,0.055555556,0,0.166666667,0.055555556,0,18
MP Stoinis,DS Kulkarni,0.428571429,0.428571429,0,0,0.142857143,0,0,7
CR Brathwaite,R Bhatia,0,1,0,0,0,0,0,1
F du Plessis,P Sahu,0.214285714,0.5,0.142857143,0,0.142857143,0,0,14
Bipul Sharma,M Morkel,0.4,0.2,0,0,0,0.4,0,5
JJ Bumrah,Sandeep Sharma,0,1,0,0,0,0,0,1
KK Nair,P Kumar,0.25,0.5,0.25,0,0,0,0,4
V Kohli,PP Chawla,0.142857143,0.523809524,0.238095238,0,0.047619048,0.047619048,0,21
AM Rahane,HH Pandya,0.5,0,0,0,0,0.5,0,4
AJ Finch,KH Pandya,0.5,0.416666667,0.083333333,0,0,0,0,12
MJ Guptill,B Kumar,0.6,0,0.2,0,0,0,0.2,5
WP Saha,JP Faulkner,0.285714286,0.5,0.142857143,0,0.071428571,0,0,14
KA Pollard,MR Marsh,0.666666667,0.333333333,0,0,0,0,0,3
BB McCullum,A Mishra,0.375,0.375,0,0,0.25,0,0,8
MC Henriques,M Morkel,0.833333333,0.166666667,0,0,0,0,0,6
P Negi,GB Hogg,0.6,0.2,0,0,0,0,0.2,5
BB McCullum,Shakib Al Hasan,0,0,0,0,1,0,0,1
DA Miller,UT Yadav,0.5,0.5,0,0,0,0,0,2
F du Plessis,STR Binny,0,0,1,0,0,0,0,1
M Vohra,PJ Sangwan,0,1,0,0,0,0,0,1
RV Uthappa,S Aravind,0,1,0,0,0,0,0,1
MP Stoinis,Iqbal Abdulla,0.5,0.5,0,0,0,0,0,2
V Kohli,Mohammed Shami,0.2,0.5,0,0,0.2,0,0.1,10
WP Saha,Z Khan,0.125,0.375,0.125,0,0.375,0,0,8
Q de Kock,KH Pandya,0.625,0.125,0,0,0,0,0.25,8
NLTC Perera,T Shamsi,0.5,0,0,0,0,0.5,0,2
PA Patel,P Kumar,0.6,0,0,0,0.4,0,0,5
KD Karthik,R Ashwin,0,0.714285714,0.142857143,0,0.142857143,0,0,7
PA Patel,AB Dinda,0.571428571,0,0.071428571,0,0.285714286,0,0.071428571,14
HM Amla,STR Binny,0.25,0.75,0,0,0,0,0,8
M Vohra,DJ Hooda,1,0,0,0,0,0,0,4
KD Karthik,Shakib Al Hasan,0,1,0,0,0,0,0,1
DJ Hooda,SR Watson,0.333333333,0.333333333,0,0,0,0,0.333333333,3
M Vohra,R Ashwin,0,1,0,0,0,0,0,3
SS Iyer,MG Johnson,0.333333333,0.666666667,0,0,0,0,0,3
F du Plessis,RA Jadeja,0.166666667,0.5,0.166666667,0,0,0.166666667,0,6
RR Pant,S Aravind,0.5,0,0,0,0,0,0.5,2
HH Pandya,Iqbal Abdulla,0,1,0,0,0,0,0,1
MK Pandey,GJ Maxwell,0,1,0,0,0,0,0,1
YK Pathan,T Shamsi,0.375,0.375,0,0,0.125,0.125,0,8
Yuvraj Singh,A Mishra,0.571428571,0.142857143,0,0,0,0.142857143,0.142857143,7
TG Southee,MM Sharma,0.666666667,0,0,0,0,0,0.333333333,3
KP Pietersen,AR Patel,0.25,0.25,0,0,0.5,0,0,4
MK Pandey,YS Chahal,0.636363636,0.181818182,0.090909091,0,0,0.090909091,0,11
Parvez Rasool,Mustafizur Rahman,0,1,0,0,0,0,0,2
P Kumar,Mustafizur Rahman,0.5,0.5,0,0,0,0,0,2
PA Patel,MM Sharma,0.272727273,0.363636364,0.090909091,0,0.272727273,0,0,11
KC Cariappa,YS Chahal,1,0,0,0,0,0,0,1
KK Nair,DL Chahar,0.333333333,0,0.333333333,0,0.333333333,0,0,3
RG Sharma,JW Hastings,0.363636364,0.363636364,0,0,0.272727273,0,0,11
MP Stoinis,S Nadeem,0.461538462,0.384615385,0,0,0.076923077,0.076923077,0,13
MC Henriques,R Ashwin,0.666666667,0.333333333,0,0,0,0,0,3
TM Head,KH Pandya,0.25,0.75,0,0,0,0,0,4
DJ Bravo,MC Henriques,0.571428571,0.285714286,0.142857143,0,0,0,0,7
JJ Bumrah,BB Sran,0.666666667,0.111111111,0,0,0.111111111,0,0.111111111,9
DA Miller,B Kumar,0.166666667,0.333333333,0.166666667,0,0.166666667,0.166666667,0,6
DJ Bravo,B Kumar,0.5,0,0.25,0,0,0,0.25,4
Q de Kock,MM Sharma,0.444444444,0.444444444,0,0,0.111111111,0,0,9
RG Sharma,Bipul Sharma,0.5,0,0,0,0,0,0.5,2
IK Pathan,AR Patel,0,1,0,0,0,0,0,1
M Vijay,MJ McClenaghan,0.5,0.2,0.05,0,0.25,0,0,20
RA Jadeja,A Mishra,0,1,0,0,0,0,0,2
DA Warner,PJ Sangwan,0.428571429,0.142857143,0.142857143,0,0,0.285714286,0,7
UT Yadav,NLTC Perera,0,0,0,0,0,1,0,1
SK Raina,AS Rajpoot,0.416666667,0.25,0.083333333,0,0.25,0,0,12
R Vinay Kumar,MR Marsh,0.4,0.2,0.2,0,0,0.2,0,5
V Kohli,S Kaushik,0.285714286,0.214285714,0.071428571,0,0.142857143,0.285714286,0,14
SK Raina,Mohammed Shami,0.666666667,0,0,0,0,0.333333333,0,3
Bipul Sharma,DJ Bravo,0,0.5,0,0,0,0.5,0,2
V Kohli,DJ Bravo,0.153846154,0.384615385,0.192307692,0.038461538,0.153846154,0.076923077,0,26
AB de Villiers,MJ McClenaghan,0.333333333,0.5,0,0,0.166666667,0,0,6
DA Warner,S Aravind,0.25,0.25,0,0,0.375,0,0.125,8
JC Buttler,A Mishra,0.666666667,0,0,0,0,0,0.333333333,3
CA Lynn,S Aravind,0.75,0.25,0,0,0,0,0,4
YK Pathan,JJ Bumrah,0,0.75,0,0,0,0,0.25,4
KK Nair,JW Hastings,0.833333333,0,0,0,0,0,0.166666667,6
JP Faulkner,KC Cariappa,0,0.666666667,0.333333333,0,0,0,0,3
AB de Villiers,CH Morris,0.636363636,0,0.090909091,0,0.272727273,0,0,11
Shakib Al Hasan,HH Pandya,0.25,0.25,0,0,0.25,0,0.25,4
CH Morris,RA Jadeja,0,1,0,0,0,0,0,2
P Negi,JW Hastings,1,0,0,0,0,0,0,3
SPD Smith,KJ Abbott,0.166666667,0.166666667,0.166666667,0,0.5,0,0,6
SP Narine,DJ Bravo,0.333333333,0.666666667,0,0,0,0,0,3
C Munro,B Kumar,0.25,0.5,0.25,0,0,0,0,4
DR Smith,M Morkel,0,0.5,0,0,0.5,0,0,2
MS Dhoni,BB Sran,0.5,0.333333333,0,0,0,0.166666667,0,6
SA Yadav,RA Jadeja,0.25,0.75,0,0,0,0,0,4
DJ Bravo,YS Chahal,0.2,0.6,0,0,0,0,0.2,5
SK Raina,Bipul Sharma,0,0.75,0,0,0.25,0,0,4
SW Billings,MM Sharma,0,1,0,0,0,0,0,1
DR Smith,SR Watson,0.428571429,0.571428571,0,0,0,0,0,7
MJ Guptill,Imran Tahir,0.111111111,0.555555556,0,0,0.111111111,0.222222222,0,9
KL Rahul,KH Pandya,0.416666667,0.5,0,0.083333333,0,0,0,12
GJ Bailey,AS Rajpoot,0.142857143,0.571428571,0.142857143,0,0.142857143,0,0,7
JC Buttler,VR Aaron,0.222222222,0.444444444,0.111111111,0,0.111111111,0.111111111,0,9
F du Plessis,JP Faulkner,0.333333333,0.333333333,0.333333333,0,0,0,0,6
DA Warner,UT Yadav,0.333333333,0.166666667,0.166666667,0,0.166666667,0,0.166666667,6
RR Pant,BB Sran,0.333333333,0.666666667,0,0,0,0,0,3
UBT Chand,Sandeep Sharma,1,0,0,0,0,0,0,1
SR Watson,SP Narine,0.25,0.25,0,0,0.25,0.25,0,4
DJ Hooda,M Morkel,0,1,0,0,0,0,0,2
S Dhawan,A Mishra,0.166666667,0.666666667,0,0,0,0,0.166666667,6
MM Sharma,Z Khan,0.5,0,0,0,0,0,0.5,2
BB McCullum,Iqbal Abdulla,0.166666667,0.666666667,0,0,0,0,0.166666667,6
S Dhawan,M Ashwin,0.25,0.5,0.25,0,0,0,0,4
RV Uthappa,CR Brathwaite,0.133333333,0.733333333,0.066666667,0,0.066666667,0,0,15
MR Marsh,RA Jadeja,0.571428571,0.142857143,0.142857143,0,0,0,0.142857143,7
N Rana,RA Jadeja,0,0.666666667,0,0,0,0.333333333,0,3
DR Smith,Imran Tahir,0.333333333,0.5,0,0,0,0,0.166666667,6
SR Watson,RA Jadeja,0.5,0.25,0,0,0,0,0.25,4
Gurkeerat Singh,DL Chahar,0.5,0.25,0,0,0.25,0,0,4
SS Tiwary,Parvez Rasool,0.125,0.375,0.125,0,0.375,0,0,8
RG Sharma,MM Sharma,0.6,0.4,0,0,0,0,0,5
SR Watson,KV Sharma,0.571428571,0,0,0,0,0.428571429,0,7
KA Pollard,Shakib Al Hasan,0.4,0.2,0,0,0.4,0,0,5
SN Khan,JJ Bumrah,0.444444444,0.222222222,0,0,0.111111111,0.111111111,0.111111111,9
DJ Bravo,AB Dinda,0.5,0,0.166666667,0,0.166666667,0,0.166666667,6
SK Raina,M Morkel,0.285714286,0.571428571,0,0,0.071428571,0.071428571,0,14
AB de Villiers,B Kumar,0.444444444,0.333333333,0,0,0.111111111,0.111111111,0,9
STR Binny,DS Kulkarni,0.2,0.6,0.2,0,0,0,0,5
